Timestamp,Angle,Buzzer
2025-07-10 15:29:17,130,OFF
2025-07-10 15:29:17,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:18,130,OFF
2025-07-10 15:29:19,130,OFF
2025-07-10 15:29:19,130,OFF
2025-07-10 15:29:19,130,OFF
2025-07-10 15:29:19,130,OFF
2025-07-10 15:29:19,130,OFF
2025-07-10 15:29:19,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:20,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:21,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:22,130,OFF
2025-07-10 15:29:23,130,OFF
2025-07-10 15:29:23,130,OFF
2025-07-10 15:29:23,130,OFF
2025-07-10 15:29:23,130,OFF
2025-07-10 15:29:23,130,OFF
2025-07-10 15:29:23,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:24,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:25,130,OFF
2025-07-10 15:29:26,130,OFF
2025-07-10 15:29:26,130,OFF
2025-07-10 15:29:26,130,OFF
2025-07-10 15:29:26,130,OFF
2025-07-10 15:29:26,130,OFF
2025-07-10 15:29:26,128,OFF
2025-07-10 15:29:26,128,OFF
2025-07-10 15:29:27,128,OFF
2025-07-10 15:29:27,128,OFF
2025-07-10 15:29:27,128,OFF
2025-07-10 15:29:27,129,OFF
2025-07-10 15:29:27,129,OFF
2025-07-10 15:29:27,129,OFF
2025-07-10 15:29:28,128,OFF
2025-07-10 15:29:28,129,OFF
2025-07-10 15:29:28,129,OFF
2025-07-10 15:29:28,128,OFF
2025-07-10 15:29:28,129,OFF
2025-07-10 15:29:28,128,OFF
2025-07-10 15:29:28,128,OFF
2025-07-10 15:29:29,128,OFF
2025-07-10 15:29:29,128,OFF
2025-07-10 15:29:29,128,OFF
2025-07-10 15:29:29,128,OFF
2025-07-10 15:29:29,129,OFF
2025-07-10 15:29:29,128,OFF
2025-07-10 15:29:30,128,OFF
2025-07-10 15:29:30,114,OFF
2025-07-10 15:29:30,100,OFF
2025-07-10 15:29:30,71,OFF
2025-07-10 15:29:30,48,OFF
2025-07-10 15:29:30,35,OFF
2025-07-10 15:29:30,19,ON
2025-07-10 15:29:31,17,ON
2025-07-10 15:29:31,15,ON
2025-07-10 15:29:31,14,ON
2025-07-10 15:29:31,14,ON
2025-07-10 15:29:31,14,ON
2025-07-10 15:29:31,14,ON
2025-07-10 15:29:31,14,ON
2025-07-10 15:29:32,14,ON
2025-07-10 15:29:32,14,ON
2025-07-10 15:29:32,13,ON
2025-07-10 15:29:32,15,ON
2025-07-10 15:29:32,14,ON
2025-07-10 15:29:32,14,ON
2025-07-10 15:29:32,14,ON
2025-07-10 15:29:33,13,ON
2025-07-10 15:29:33,13,ON
2025-07-10 15:29:33,13,ON
2025-07-10 15:29:33,13,ON
2025-07-10 15:29:33,14,ON
2025-07-10 15:29:33,13,ON
2025-07-10 15:29:33,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:34,13,ON
2025-07-10 15:29:35,13,ON
2025-07-10 15:29:35,13,ON
2025-07-10 15:29:35,13,ON
2025-07-10 15:29:35,13,ON
2025-07-10 15:29:35,14,ON
2025-07-10 15:29:35,17,ON
2025-07-10 15:29:36,17,ON
2025-07-10 15:29:36,34,OFF
2025-07-10 15:29:36,37,OFF
2025-07-10 15:29:36,29,ON
2025-07-10 15:29:36,35,OFF
2025-07-10 15:29:36,30,OFF
2025-07-10 15:29:36,61,OFF
2025-07-10 15:29:37,118,OFF
2025-07-10 15:29:37,126,OFF
2025-07-10 15:29:37,128,OFF
2025-07-10 15:29:37,128,OFF
2025-07-10 15:29:37,128,OFF
2025-07-10 15:29:37,128,OFF
2025-07-10 15:29:37,128,OFF
2025-07-10 15:29:38,129,OFF
2025-07-10 15:29:38,128,OFF
2025-07-10 15:29:38,128,OFF
2025-07-10 15:29:38,128,OFF
2025-07-10 15:29:38,128,OFF
2025-07-10 15:29:38,128,OFF
2025-07-10 15:29:39,129,OFF
2025-07-10 15:29:39,129,OFF
2025-07-10 15:29:39,129,OFF
2025-07-10 15:29:39,128,OFF
2025-07-10 15:29:39,120,OFF
2025-07-10 15:29:39,98,OFF
2025-07-10 15:29:39,95,OFF
2025-07-10 15:29:40,98,OFF
2025-07-10 15:29:40,101,OFF
2025-07-10 15:29:40,95,OFF
2025-07-10 15:29:40,83,OFF
2025-07-10 15:29:40,68,OFF
2025-07-10 15:29:40,37,OFF
2025-07-10 15:29:40,21,ON
2025-07-10 15:29:41,18,ON
2025-07-10 15:29:41,18,ON
2025-07-10 15:29:41,18,ON
