Timestamp,PWM,Estimated RPM
2025-07-10 13:04:49,0,0
2025-07-10 13:04:49,0,0
2025-07-10 13:04:49,0,0
2025-07-10 13:04:49,0,0
2025-07-10 13:04:50,0,0
2025-07-10 13:04:50,0,0
2025-07-10 13:04:50,0,0
2025-07-10 13:04:50,0,0
2025-07-10 13:04:50,0,0
2025-07-10 13:04:50,0,0
